,0,1,2
0,C44-FCC,uSFE-FCC,VME-FCC
1,C44-FCC,eSFE FCC,VME-FCC
2,Lattice Const BCC,Surf Energy 100 FCC,VME-FCC
3,TEC FCC,Surf Energy 100 FCC,VME-FCC
4,C44-SC,Surf Energy 100 FCC,VME-FCC
