,factors,cv_score,cv_score_std
1952,"['c11_bcc', 'surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-204.52328979094116,275.97460147603067
1959,"['c11_bcc', 'ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-204.54111575670566,275.6543459716721
1157,"['lattice_constant_sc', 'ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-204.69879615357786,282.75507118802585
2915,"['ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc', 'relaxation_volume_fcc']",-205.04952870147602,273.236618044184
2597,"['c44_bcc', 'c44_fcc', 'vacancy_migration_energy_fcc']",-205.1537477513442,261.69743185420435
2118,"['c11_fcc', 'extr_stack_fault_energy_fcc', 'vacancy_migration_energy_fcc']",-205.1800552976944,270.133568618003
2248,"['c11_sc', 'ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-205.21817940546825,269.4302379302705
1133,"['lattice_constant_sc', 'cohesive_energy_fcc', 'vacancy_migration_energy_fcc']",-205.3597785266912,270.9756844882173
1764,"['bulk_modulus_sc', 'cohesive_energy_fcc', 'vacancy_migration_energy_fcc']",-205.3898629680252,275.6673884138291
2635,"['c44_bcc', 'surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-205.62597574227559,282.835620785711
613,"['lattice_constant_bcc', 'thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc']",-205.65139736557757,270.3800675833214
2642,"['c44_bcc', 'ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-206.32802774543654,282.1922170012504
304,"['cohesive_energy_fcc', 'vacancy_migration_energy_fcc']",-206.68822848828458,274.7569042667585
2878,"['surface_energy_100_fcc', 'extr_stack_fault_energy_fcc', 'vacancy_migration_energy_fcc']",-206.77323138854695,296.25822330804095
2123,"['c11_fcc', 'unstable_stack_energy_fcc', 'vacancy_migration_energy_fcc']",-206.7746811876069,268.85470647192363
2828,"['cohesive_energy_fcc', 'unrelaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",-206.7915220808363,273.3004570892352
1591,"['bulk_modulus_fcc', 'surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-207.16602502374886,290.13070063665066
2728,"['c44_fcc', 'unrelaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",-207.46586385244092,262.2058109126337
1598,"['bulk_modulus_fcc', 'ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-207.58091893997945,289.2840974280978
49,"['lattice_constant_bcc', 'vacancy_migration_energy_fcc']",-207.99624014956015,269.8630301861691
459,"['lattice_constant_bcc', 'bulk_modulus_sc', 'vacancy_migration_energy_fcc']",-208.0062225873307,265.9633839804349
1331,"['bulk_modulus_bcc', 'c44_bcc', 'vacancy_migration_energy_fcc']",-208.27506797371623,277.239657032911
2224,"['c11_sc', 'cohesive_energy_fcc', 'vacancy_migration_energy_fcc']",-208.36031899865176,268.6104852698277
643,"['lattice_constant_bcc', 'unstable_stack_energy_slip_fraction_fcc', 'vacancy_migration_energy_fcc']",-208.4697090158294,275.99981032578876
2899,"['ideal_surface_energy_100_fcc', 'extr_stack_fault_energy_fcc', 'vacancy_migration_energy_fcc']",-208.7419103154553,294.1534962300596
859,"['lattice_constant_fcc', 'c44_fcc', 'vacancy_migration_energy_fcc']",-208.7961922332173,266.36269251134513
1743,"['bulk_modulus_sc', 'c44_fcc', 'vacancy_migration_energy_fcc']",-209.30181591561504,261.2386846396921
2826,"['cohesive_energy_fcc', 'relaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",-209.3365740859298,273.4499314097218
2428,"['c12_fcc', 'c44_fcc', 'vacancy_migration_energy_fcc']",-209.42177502768575,260.0127938516493
558,"['lattice_constant_bcc', 'c12_sc', 'vacancy_migration_energy_fcc']",-209.44985086690804,269.8711637974427
870,"['lattice_constant_fcc', 'c44_sc', 'vacancy_migration_energy_fcc']",-209.47352428828975,263.6993402632809
648,"['lattice_constant_bcc', 'unrelaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",-209.72853473739426,263.75337011753544
2368,"['c12_bcc', 'ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-209.79788653528607,287.31159157155207
919,"['lattice_constant_fcc', 'unstable_stack_energy_slip_fraction_fcc', 'vacancy_migration_energy_fcc']",-209.83093506236187,277.49865571199524
2684,"['c44_fcc', 'cohesive_energy_fcc', 'vacancy_migration_energy_fcc']",-209.98151556166667,262.42448881712755
889,"['lattice_constant_fcc', 'thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc']",-210.0481761503823,270.89802417264434
496,"['lattice_constant_bcc', 'c11_fcc', 'vacancy_migration_energy_fcc']",-210.05539865993703,279.0187907585568
2361,"['c12_bcc', 'surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-210.06838961848467,287.68268457163396
2203,"['c11_sc', 'c44_fcc', 'vacancy_migration_energy_fcc']",-210.25772867989426,260.9370100841368
73,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc']",-210.61885376264507,271.03983438612164
2618,"['c44_bcc', 'cohesive_energy_fcc', 'vacancy_migration_energy_fcc']",-210.91719974139932,285.3525046369228
1163,"['lattice_constant_sc', 'extr_stack_fault_energy_fcc', 'vacancy_migration_energy_fcc']",-211.17385415114782,286.8343102454953
2823,"['cohesive_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc', 'vacancy_migration_energy_fcc']",-211.32384150752378,280.3126142862213
2830,"['cohesive_energy_fcc', 'vacancy_migration_energy_fcc', 'relaxation_volume_fcc']",-211.48409207679535,272.308557968082
2783,"['c44_sc', 'unrelaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",-211.72110920659742,269.19543586686734
2540,"['c12_sc', 'cohesive_energy_fcc', 'vacancy_migration_energy_fcc']",-211.752787223283,269.1540531345023
1112,"['lattice_constant_sc', 'c44_fcc', 'vacancy_migration_energy_fcc']",-211.76348993003194,272.4441441839103
2730,"['c44_fcc', 'vacancy_migration_energy_fcc', 'relaxation_volume_fcc']",-211.7665601759579,262.7631689067098
1553,"['bulk_modulus_fcc', 'c44_fcc', 'vacancy_migration_energy_fcc']",-211.77990994859877,259.6153767750468
2519,"['c12_sc', 'c44_fcc', 'vacancy_migration_energy_fcc']",-211.84121829420246,257.6256598793744
