,factors,cv_score,cv_score_std
2538,"['vacancy_migration_energy_fcc', 'cohesive_energy_fcc', 'lattice_constant_sc']",-301.192126953261,159.94305736530094
1879,"['lattice_constant_bcc', 'vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc']",-301.2186113793392,154.2620453440519
1276,"['lattice_constant_fcc', 'c44_sc', 'vacancy_migration_energy_fcc']",-301.21878145702453,149.3751092583454
659,"['surface_energy_100_fcc', 'bulk_modulus_bcc', 'vacancy_migration_energy_fcc']",-301.2267562717729,164.3101449227273
2498,"['vacancy_migration_energy_fcc', 'c44_fcc', 'cohesive_energy_fcc']",-301.35685804097005,147.58254204928951
834,"['surface_energy_100_fcc', 'vacancy_migration_energy_fcc', 'relaxation_volume_fcc']",-301.4446419932703,163.89235416532387
2508,"['vacancy_migration_energy_fcc', 'c44_fcc', 'bulk_modulus_sc']",-301.6341961595613,138.3351909085926
1315,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'c11_sc']",-302.04819264866126,145.6568668948076
465,"['c11_bcc', 'lattice_constant_bcc', 'vacancy_migration_energy_fcc']",-302.11052553521284,168.05213471960337
2032,"['thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc']",-302.2696292764122,172.83798100210694
1306,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'c44_fcc']",-302.6978421920875,157.72192642521338
2391,"['c12_sc', 'vacancy_migration_energy_fcc', 'c44_fcc']",-302.76725708668414,141.6908428300696
822,"['surface_energy_100_fcc', 'vacancy_migration_energy_fcc', 'c44_fcc']",-302.80467200904144,145.13503880528194
2499,"['vacancy_migration_energy_fcc', 'c44_fcc', 'unrelaxed_formation_potential_energy_fcc']",-302.8637206520736,142.58799808763501
832,"['surface_energy_100_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_sc']",-302.96189625570486,164.07864409615874
2519,"['vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc', 'relaxation_volume_fcc']",-303.1628399647967,159.84013057022645
360,"['c11_bcc', 'surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",-303.16850822772034,159.97901033338547
2569,"['vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc', 'c11_fcc']",-303.24204582274234,153.824983336381
2537,"['vacancy_migration_energy_fcc', 'cohesive_energy_fcc', 'c11_sc']",-303.3608295216622,148.9174851055008
830,"['surface_energy_100_fcc', 'vacancy_migration_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc']",-303.5953664616991,174.17374964561498
2522,"['vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc', 'unrelaxed_formation_potential_energy_fcc']",-303.6232647957361,176.38244076052467
2504,"['vacancy_migration_energy_fcc', 'c44_fcc', 'c11_sc']",-303.72546119633415,148.79756715984692
1310,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'unrelaxed_formation_potential_energy_fcc']",-303.91148052723855,154.79121023947266
249,"['vacancy_migration_energy_fcc', 'cohesive_energy_fcc']",-304.2350938940208,155.79388410749752
1707,"['c44_bcc', 'vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc']",-304.2864438866956,173.737254006994
1877,"['lattice_constant_bcc', 'vacancy_migration_energy_fcc', 'c44_fcc']",-304.71564569109404,139.01009100583403
2394,"['c12_sc', 'vacancy_migration_energy_fcc', 'cohesive_energy_fcc']",-304.7189656228222,163.20895461024494
2497,"['vacancy_migration_energy_fcc', 'c44_fcc', 'relaxed_formation_potential_energy_fcc']",-304.7926713515491,128.33613025945454
