,factors,r2_cv_score,rmse_cv_score
1373,"['c44_sc', 'vacancy_migration_energy_fcc', 'lattice_constant_diamond']",0.8474630017151331,-211.07814351688333
3174,"['vacancy_migration_energy_fcc', 'lattice_constant_bcc', 'c11_fcc']",0.846998179776309,-206.84306665108025
3121,"['vacancy_migration_energy_fcc', 'surface_energy_100_fcc', 'unstable_twinning_energy_fcc']",0.8468410287168756,-208.70496230950562
3074,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'bulk_modulus_fcc']",0.8467485415811484,-207.10609636057794
248,"['vacancy_migration_energy_fcc', 'lattice_constant_bcc']",0.8457302440436574,-203.5832699374518
3062,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'surface_energy_100_fcc']",0.8456519280073058,-199.65666906691146
2535,"['unstable_stack_energy_fcc', 'vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc']",0.8444199043685552,-201.97152068172693
3176,"['vacancy_migration_energy_fcc', 'lattice_constant_bcc', 'bulk_modulus_sc']",0.8443177259967534,-207.24964306027377
2768,"['cohesive_energy_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_bcc']",0.8442987099638354,-204.36312307038966
2685,"['unstable_stack_energy_fcc', 'surface_energy_100_fcc', 'intr_stack_fault_energy_fcc']",0.8436223212839664,-208.96861975860892
1032,"['c12_sc', 'vacancy_migration_energy_fcc', 'lattice_constant_bcc']",0.843614799791915,-205.07124303437104
3083,"['vacancy_migration_energy_fcc', 'c11_sc', 'lattice_constant_bcc']",0.84327375600471,-207.89998468696976
2723,"['unstable_stack_energy_fcc', 'ideal_surface_energy_100_fcc', 'intr_stack_fault_energy_fcc']",0.8430925728896821,-210.92093747278534
2565,"['unstable_stack_energy_fcc', 'c12_fcc', 'c44_bcc']",0.8430628737383818,-211.27403839194005
2275,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'c11_sc']",0.8428300418904527,-207.26999085987106
2998,"['vacancy_migration_energy_fcc', 'lattice_constant_sc', 'lattice_constant_bcc']",0.8426369667922401,-214.55712496889734
1627,"['unstable_twinning_energy_slip_fraction_fcc', 'lattice_constant_fcc', 'vacancy_migration_energy_fcc']",0.8426113772043999,-206.92656868987433
2527,"['unstable_stack_energy_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_diamond']",0.8416276599553478,-210.24528652450527
3072,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'intr_stack_fault_energy_fcc']",0.8412014348066582,-209.7117542087877
3771,"['c44_bcc', 'surface_energy_100_fcc', 'unstable_twinning_energy_fcc']",0.841193664370141,-212.78655865399196
3152,"['vacancy_migration_energy_fcc', 'thermal_expansion_coeff_fcc', 'lattice_constant_bcc']",0.8405778468452904,-212.4929019405309
1698,"['unstable_twinning_energy_slip_fraction_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_diamond']",0.8404448086680064,-208.76331199853928
3412,"['c12_fcc', 'c44_bcc', 'unstable_twinning_energy_fcc']",0.8402904005765879,-207.58779423569666
2650,"['unstable_stack_energy_fcc', 'extr_stack_fault_energy_fcc', 'surface_energy_100_fcc']",0.840176078326091,-213.24671685535634
3168,"['vacancy_migration_energy_fcc', 'unstable_twinning_energy_fcc', 'c11_fcc']",0.8401738938887017,-213.54766776985906
3063,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'unstable_stack_energy_slip_fraction_fcc']",0.8398061003434849,-206.64982491873445
2524,"['unstable_stack_energy_fcc', 'vacancy_migration_energy_fcc', 'c12_fcc']",0.8397111570577662,-215.91226776712566
3066,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'ideal_surface_energy_100_fcc']",0.8397041243375759,-202.84892394250005
3035,"['vacancy_migration_energy_fcc', 'relaxation_volume_fcc', 'lattice_constant_bcc']",0.839698006100122,-213.0816114331721
3169,"['vacancy_migration_energy_fcc', 'unstable_twinning_energy_fcc', 'unrelaxed_formation_potential_energy_fcc']",0.8390440186496113,-208.67185013164104
3131,"['vacancy_migration_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc', 'ideal_surface_energy_100_fcc']",0.8388895361831468,-215.63051852785074
2538,"['unstable_stack_energy_fcc', 'vacancy_migration_energy_fcc', 'c11_fcc']",0.838799531424849,-207.5067350898073
3173,"['vacancy_migration_energy_fcc', 'unstable_twinning_energy_fcc', 'bulk_modulus_fcc']",0.8383837798615035,-208.56774658842158
2576,"['unstable_stack_energy_fcc', 'c12_fcc', 'lattice_constant_bcc']",0.8383292082569068,-219.4502653883438
3159,"['vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc', 'unstable_twinning_energy_fcc']",0.838139794631604,-212.18944061892455
1383,"['c44_sc', 'vacancy_migration_energy_fcc', 'lattice_constant_bcc']",0.8380212714482489,-213.92504435541866
2758,"['cohesive_energy_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_diamond']",0.8378555670648038,-210.17663895950466
2667,"['unstable_stack_energy_fcc', 'c11_bcc', 'ideal_surface_energy_100_fcc']",0.8371797158437275,-213.7258744951248
2754,"['cohesive_energy_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_sc']",0.836967633180583,-212.6616771029395
1302,"['c44_sc', 'lattice_constant_fcc', 'vacancy_migration_energy_fcc']",0.8369617631085577,-211.5848938242447
2617,"['unstable_stack_energy_fcc', 'c44_bcc', 'bulk_modulus_fcc']",0.8361941645497294,-215.68133695234494
643,"['c44_fcc', 'vacancy_migration_energy_fcc', 'c44_bcc']",0.836006466579373,-212.84973746411
3060,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'extr_stack_fault_energy_fcc']",0.835648251307734,-210.51189824842706
3016,"['vacancy_migration_energy_fcc', 'c12_fcc', 'unstable_twinning_energy_fcc']",0.8354761400794091,-214.6178493171266
600,"['c44_fcc', 'unstable_stack_energy_fcc', 'c44_bcc']",0.8354689124868407,-219.90498545986713
2988,"['vacancy_migration_energy_fcc', 'lattice_constant_sc', 'lattice_constant_diamond']",0.8353184098459684,-213.92205530866121
2008,"['bulk_modulus_bcc', 'vacancy_migration_energy_fcc', 'lattice_constant_bcc']",0.8350405317280729,-212.18947495007174
1022,"['c12_sc', 'vacancy_migration_energy_fcc', 'lattice_constant_diamond']",0.8347060595216048,-212.32873247572516
4445,"['ideal_surface_energy_100_fcc', 'unstable_twinning_energy_fcc', 'intr_stack_fault_energy_fcc']",0.8346264541508489,-210.5893486375105
1998,"['bulk_modulus_bcc', 'vacancy_migration_energy_fcc', 'lattice_constant_diamond']",0.8345976540021414,-214.85408457664954
3073,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'relaxed_formation_potential_energy_fcc']",0.8342257564118196,-208.43062355677841
1963,"['bulk_modulus_bcc', 'unstable_stack_energy_fcc', 'ideal_surface_energy_100_fcc']",0.8338958435784959,-213.00969156079123
2605,"['unstable_stack_energy_fcc', 'c44_bcc', 'surface_energy_100_fcc']",0.8338729376757786,-214.80291422291518
2285,"['lattice_constant_fcc', 'vacancy_migration_energy_fcc', 'c11_fcc']",0.8337157612251831,-213.08242109494842
238,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond']",0.8335766870075291,-213.40799710505388
3823,"['c44_bcc', 'unstable_twinning_energy_fcc', 'bulk_modulus_fcc']",0.8334848120617784,-217.63650356106737
1663,"['unstable_twinning_energy_slip_fraction_fcc', 'unstable_stack_energy_fcc', 'ideal_surface_energy_100_fcc']",0.8331296952676718,-219.2111807946511
3817,"['c44_bcc', 'unstable_twinning_energy_fcc', 'lattice_constant_bcc']",0.8327911049441383,-218.72756219022133
657,"['c44_fcc', 'vacancy_migration_energy_fcc', 'bulk_modulus_sc']",0.832772350942361,-211.61062806254017
3061,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'c11_bcc']",0.8326805065779318,-216.78346639647097
3067,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'unstable_twinning_energy_fcc']",0.8326779856064964,-216.00656911802798
3126,"['vacancy_migration_energy_fcc', 'surface_energy_100_fcc', 'intr_stack_fault_energy_fcc']",0.8320618940500328,-217.6883054011718
