,0,1,2
0,VME-FCC,C44-FCC,uTwinEnergy-FCC
1,VME-FCC,C44-FCC,eSFE FCC
2,SE 100 FCC,VME-FCC,LC FCC
3,SE 100 FCC,VME-FCC,LC BCC
4,Ideal SE 100 FCC,VME-FCC,LC FCC
