,factors,r2_cv_score,rmse_cv_score
1633,"['vacancy_migration_energy_fcc', 'c11_bcc', 'lattice_constant_fcc']",0.8246258235503219,-218.20497560474507
525,"['cohesive_energy_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_diamond']",0.8245855858718203,-216.7120147290358
528,"['cohesive_energy_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_sc']",0.8244946582547966,-217.9371386382236
1890,"['vacancy_migration_energy_fcc', 'relaxed_formation_potential_energy_fcc', 'ideal_surface_energy_100_fcc']",0.8235265615983905,-213.05743943770528
1907,"['vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc', 'bulk_modulus_bcc']",0.8234376998103895,-218.36852806282812
124,"['vacancy_migration_energy_fcc', 'lattice_constant_fcc']",0.8229327272846774,-220.19471976236457
1897,"['vacancy_migration_energy_fcc', 'relaxation_volume_fcc', 'ideal_surface_energy_100_fcc']",0.8226615966895552,-214.01590985452071
1733,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'bulk_modulus_sc']",0.8224929155470815,-220.05149254582068
1829,"['vacancy_migration_energy_fcc', 'unstable_twinning_energy_fcc', 'c11_fcc']",0.8222913419966926,-213.2675016302849
1732,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'bulk_modulus_bcc']",0.8221628690290689,-225.44045920248297
1909,"['vacancy_migration_energy_fcc', 'ideal_surface_energy_100_fcc', 'c11_sc']",0.8216011275546703,-212.83302402716336
1816,"['vacancy_migration_energy_fcc', 'lattice_constant_fcc', 'unrelaxed_formation_potential_energy_fcc']",0.8204289229670134,-216.2963503906145
1914,"['vacancy_migration_energy_fcc', 'lattice_constant_bcc', 'c11_sc']",0.8202712470358732,-217.45444005817816
1651,"['vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc', 'lattice_constant_diamond']",0.8202367510363939,-218.80855754836386
1848,"['vacancy_migration_energy_fcc', 'surface_energy_100_fcc', 'unstable_stack_energy_slip_fraction_fcc']",0.8198514957573662,-219.53761229792119
1811,"['vacancy_migration_energy_fcc', 'lattice_constant_fcc', 'relaxed_formation_potential_energy_fcc']",0.819765436212332,-219.9635953387907
1852,"['vacancy_migration_energy_fcc', 'surface_energy_100_fcc', 'ideal_surface_energy_100_fcc']",0.8186965460443056,-218.63285359159286
1721,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'unstable_stack_energy_fcc']",0.8186861321378345,-220.24175502848774
1667,"['vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc', 'c11_fcc']",0.8183873522402775,-219.36222471425913
1734,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'c11_sc']",0.8181022267831909,-217.37963051328413
1606,"['vacancy_migration_energy_fcc', 'c12_sc', 'c44_fcc']",0.8171085399592039,-220.46947031497422
908,"['thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_fcc']",0.8170166207234386,-217.93935285813106
119,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond']",0.8164574149037049,-221.98145729817338
1726,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'relaxed_formation_potential_energy_fcc']",0.8164570816437259,-221.6911214080171
1858,"['vacancy_migration_energy_fcc', 'surface_energy_100_fcc', 'c11_sc']",0.8160923165238448,-215.18245196554565
1618,"['vacancy_migration_energy_fcc', 'c12_sc', 'ideal_surface_energy_100_fcc']",0.8156499376472481,-216.35231178593887
903,"['thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_diamond']",0.8155449810413589,-222.77787971042187
1271,"['c44_sc', 'vacancy_migration_energy_fcc', 'unrelaxed_formation_potential_energy_fcc']",0.8148634456306642,-223.02365394322595
1856,"['vacancy_migration_energy_fcc', 'surface_energy_100_fcc', 'bulk_modulus_bcc']",0.814572190509757,-218.1497869657155
1766,"['vacancy_migration_energy_fcc', 'c44_fcc', 'lattice_constant_bcc']",0.8145344422829406,-223.1981532693228
1609,"['vacancy_migration_energy_fcc', 'c12_sc', 'lattice_constant_fcc']",0.8143441466798085,-221.18294084743934
1770,"['vacancy_migration_energy_fcc', 'c44_fcc', 'bulk_modulus_sc']",0.8143093313726427,-225.8919548567539
493,"['cohesive_energy_fcc', 'c44_sc', 'vacancy_migration_energy_fcc']",0.8141522823983177,-220.8774537346797
1720,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'unstable_twinning_energy_fcc']",0.8141134418895767,-220.50419860603088
1873,"['vacancy_migration_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc', 'ideal_surface_energy_100_fcc']",0.8139371463846524,-217.7082542576953
1259,"['c44_sc', 'vacancy_migration_energy_fcc', 'lattice_constant_fcc']",0.81392682640212,-214.3527674408432
1694,"['vacancy_migration_energy_fcc', 'c12_fcc', 'lattice_constant_diamond']",0.8134398355722722,-221.35896644087785
1912,"['vacancy_migration_energy_fcc', 'lattice_constant_bcc', 'bulk_modulus_bcc']",0.8132488246598532,-226.63458458589804
545,"['cohesive_energy_fcc', 'vacancy_migration_energy_fcc', 'c11_sc']",0.8128994950488222,-225.6679155961501
1809,"['vacancy_migration_energy_fcc', 'lattice_constant_fcc', 'unstable_stack_energy_slip_fraction_fcc']",0.8127640846003181,-220.61424774036442
1741,"['vacancy_migration_energy_fcc', 'unstable_twinning_energy_slip_fraction_fcc', 'surface_energy_100_fcc']",0.8127178211729611,-220.55590030505297
1850,"['vacancy_migration_energy_fcc', 'surface_energy_100_fcc', 'relaxed_formation_potential_energy_fcc']",0.8126679290182004,-213.61526028706024
1783,"['vacancy_migration_energy_fcc', 'lattice_constant_sc', 'lattice_constant_bcc']",0.8123253951967905,-227.065333346659
1865,"['vacancy_migration_energy_fcc', 'intr_stack_fault_energy_fcc', 'c11_fcc']",0.8119566822235575,-228.10082996634617
3606,"['c44_fcc', 'unstable_twinning_energy_fcc', 'intr_stack_fault_energy_fcc']",0.8116418345258833,-229.8973508326313
1719,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'lattice_constant_fcc']",0.8115757545778551,-222.62008065123067
1725,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'bulk_modulus_fcc']",0.8114499313467058,-222.79963891544375
