,species,Strength (Mpa),citations,model
121,Ni,2550,"\cite{OpenKIM-MO:400591584784:005a},\cite{OpenKIM-MO:400591584784:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_MishinFarkasMehl\_1999\_Ni\_\_MO\_400591584784\_005
112,Ni,2632,"\cite{OpenKIM-MO:763197941039:000a},\cite{OpenKIM-MO:763197941039:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_BonnyCastinTerentyev\_2013\_FeNiCr\_\_MO\_763197941039\_000
147,Ni,2647,"\cite{OpenKIM-MO:468686727341:000a},\cite{OpenKIM-MO:468686727341:000},\cite{OpenKIM-MD:536750310735:000}",SNAP\_LiHuChen\_2018\_NiMo\_\_MO\_468686727341\_000
175,Ni,2766,"\cite{OpenKIM-SM:971529344487:000a},\cite{OpenKIM-SM:971529344487:000}",Sim\_LAMMPS\_MEAM\_MaiselKoZhang\_2017\_VNiTi\_\_SM\_971529344487\_000
174,Ni,2896,"\cite{OpenKIM-SM:770142935022:000a},\cite{OpenKIM-SM:770142935022:000}",Sim\_LAMMPS\_MEAM\_KoGrabowskiNeugebauer\_2015\_NiTi\_\_SM\_770142935022\_000
172,Ni,3108,"\cite{OpenKIM-SM:078420412697:001a},\cite{OpenKIM-SM:078420412697:001}",Sim\_LAMMPS\_MEAM\_AsadiZaeemNouranian\_2015\_Ni\_\_SM\_078420412697\_001
107,Ni,3631,"\cite{OpenKIM-MO:977363131043:005a},\cite{OpenKIM-MO:977363131043:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_AcklandTichyVitek\_1987\_Ni\_\_MO\_977363131043\_005
111,Ni,3858,"\cite{OpenKIM-MO:715003088863:000a},\cite{OpenKIM-MO:715003088863:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_BelandTammMu\_2017\_FeNiCr\_\_MO\_715003088863\_000
114,Ni,3928,"\cite{OpenKIM-MO:677715648236:000a},\cite{OpenKIM-MO:677715648236:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_BonnyTerentyevPasianot\_2011\_FeNiCr\_\_MO\_677715648236\_000
108,Ni,4136,"\cite{OpenKIM-MO:769632475533:000a},\cite{OpenKIM-MO:769632475533:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_AcklandTichyVitek\_1987v2\_Ni\_\_MO\_769632475533\_000
176,Ni,6258,"\cite{OpenKIM-SM:168413969663:000, tadmor:elliott:2011, elliott:tadmor:2011}",Sim\_LAMMPS\_MEAM\_Wagner\_2007\_Ni\_\_SM\_168413969663\_000
133,Pb,308,"\cite{OpenKIM-MO:988703794028:000a},\cite{OpenKIM-MO:988703794028:000b},\cite{OpenKIM-MO:988703794028:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_ZhouJohnsonWadley\_2004NISTretabulation\_Pb\_\_MO\_988703794028\_000
134,Pb,309,"\cite{OpenKIM-MO:116920074573:005a},\cite{OpenKIM-MO:116920074573:005b},\cite{OpenKIM-MO:116920074573:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_ZhouJohnsonWadley\_2004\_Pb\_\_MO\_116920074573\_005
30,Pb,375,"\cite{OpenKIM-MO:699137396381:005a},\cite{OpenKIM-MO:699137396381:005b},\cite{OpenKIM-MO:699137396381:005c},\cite{OpenKIM-MO:699137396381:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_LandaWynblattSiegel\_2000\_AlPb\_\_MO\_699137396381\_005
93,Pb,383,"\cite{OpenKIM-MO:119135752160:005a},\cite{OpenKIM-MO:119135752160:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_HoytGarvinWebb\_2003\_PbCu\_\_MO\_119135752160\_005
132,Pb,488,"\cite{OpenKIM-MO:961101070310:000a},\cite{OpenKIM-MO:961101070310:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_WangZhuXiang\_2018pot2\_Pb\_\_MO\_961101070310\_000
137,Pd,926,"\cite{OpenKIM-MO:865505436319:000a},\cite{OpenKIM-MO:865505436319:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_ZhouBarteltSills\_2021\_PdHHe\_\_MO\_865505436319\_000
139,Pd,965,"\cite{OpenKIM-MO:114797992931:000a},\cite{OpenKIM-MO:114797992931:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_ZhouZimmermanWong\_2008\_PdH\_\_MO\_114797992931\_000
