,species,Strength (Mpa),citations,model
151,Al,1107,"\cite{OpenKIM-SM:667696763561:000a},\cite{OpenKIM-SM:667696763561:000}",Sim\_LAMMPS\_ADP\_ApostolMishin\_2011\_AlCu\_\_SM\_667696763561\_000
45,Al,1118,"\cite{OpenKIM-MO:751354403791:005a},\cite{OpenKIM-MO:751354403791:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_PunMishin\_2009\_NiAl\_\_MO\_751354403791\_005
48,Al,1126,"\cite{OpenKIM-MO:826591359508:000a},\cite{OpenKIM-MO:826591359508:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_PunYamakovMishin\_2013\_NiAlCo\_\_MO\_826591359508\_000
52,Al,1144,"\cite{OpenKIM-MO:722733117926:000a},\cite{OpenKIM-MO:722733117926:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_SongMendelev\_2021\_AlSm\_\_MO\_722733117926\_000
41,Al,1230,"\cite{OpenKIM-MO:109933561507:005a},\cite{OpenKIM-MO:109933561507:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_MishinMehlPapaconstantopoulos\_2002\_NiAl\_\_MO\_109933561507\_005
32,Al,1370,"\cite{OpenKIM-MO:051157671505:000a},\cite{OpenKIM-MO:051157671505:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_LiuErcolessiAdams\_2004\_Al\_\_MO\_051157671505\_000
31,Al,1376,"\cite{OpenKIM-MO:019873715786:000a},\cite{OpenKIM-MO:019873715786:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_LiuAdams\_1998\_AlMg\_\_MO\_019873715786\_000
156,Al,1560,"\cite{OpenKIM-SM:656517352485:000a},\cite{OpenKIM-SM:656517352485:000}",Sim\_LAMMPS\_MEAM\_JelinekGrohHorstemeyer\_2012\_AlSiMgCuFe\_\_SM\_656517352485\_000
25,Al,2636,"\cite{OpenKIM-MO:820335782779:000a},\cite{OpenKIM-MO:820335782779:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_FarkasCaro\_2020\_FeNiCrCoAl\_\_MO\_820335782779\_000
160,Au,746,"\cite{OpenKIM-SM:985135773293:000a},\cite{OpenKIM-SM:985135773293:000}",Sim\_LAMMPS\_ADP\_StarikovLopanitsynaSmirnova\_2018\_SiAu\_\_SM\_985135773293\_000
154,Au,764,"\cite{OpenKIM-SM:113843830602:000a},\cite{OpenKIM-SM:113843830602:000}",Sim\_LAMMPS\_ADP\_StarikovGordeevLysogorskiy\_2020\_SiAuAl\_\_SM\_113843830602\_000
65,Au,803,"\cite{OpenKIM-MO:559016907324:000a},\cite{OpenKIM-MO:559016907324:000b},\cite{OpenKIM-MO:559016907324:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_FoilesBaskesDaw\_1986Universal3\_Au\_\_MO\_559016907324\_000
64,Au,804,"\cite{OpenKIM-MO:087738844640:000a},\cite{OpenKIM-MO:087738844640:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_AdamsFoilesWolfer\_1989\_Au\_\_MO\_087738844640\_000
68,Au,811,"\cite{OpenKIM-MO:557267801129:000a},\cite{OpenKIM-MO:557267801129:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_GrocholaRusso\_2005\_Au\_\_MO\_557267801129\_000
66,Au,814,"\cite{OpenKIM-MO:426403318662:000a},\cite{OpenKIM-MO:426403318662:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_GolaPastewka\_2018\_CuAu\_\_MO\_426403318662\_000
75,Au,829,"\cite{OpenKIM-MO:684444719999:000a},\cite{OpenKIM-MO:684444719999:000b},\cite{OpenKIM-MO:684444719999:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_ZhouJohnsonWadley\_2004NISTretabulation\_Au\_\_MO\_684444719999\_000
17,Au,832,"\cite{OpenKIM-MO:318213562153:000a},\cite{OpenKIM-MO:318213562153:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_ZhouJohnsonWadley\_2004NISTretabulation\_CuAgAu\_\_MO\_318213562153\_000
69,Au,833,"\cite{OpenKIM-MO:592431957881:000a},\cite{OpenKIM-MO:592431957881:000b},\cite{OpenKIM-MO:592431957881:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_NormanStarikovStegailov\_2012\_Au\_\_MO\_592431957881\_000
76,Au,836,"\cite{OpenKIM-MO:468407568810:005a},\cite{OpenKIM-MO:468407568810:005b},\cite{OpenKIM-MO:468407568810:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_ZhouJohnsonWadley\_2004\_Au\_\_MO\_468407568810\_005
161,Au,847,"\cite{OpenKIM-SM:066295357485:000a},\cite{OpenKIM-SM:066295357485:000}",Sim\_LAMMPS\_ADP\_WangXuQian\_2021\_AuRh\_\_SM\_066295357485\_000
72,Au,891,"\cite{OpenKIM-MO:228280943430:000a},\cite{OpenKIM-MO:228280943430:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_Olsson\_2010\_Au\_\_MO\_228280943430\_000
73,Au,991,"\cite{OpenKIM-MO:188701096956:000a},\cite{OpenKIM-MO:188701096956:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_Pun\_2017\_Au\_\_MO\_188701096956\_000
74,Au,1253,"\cite{OpenKIM-MO:173248269481:000a},\cite{OpenKIM-MO:173248269481:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_Zhakhovsky\_2009\_Au\_\_MO\_173248269481\_000
70,Au,1300,"\cite{OpenKIM-MO:946831081299:000a},\cite{OpenKIM-MO:946831081299:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_OBrienBarrPrice\_2018\_PtAu\_\_MO\_946831081299\_000
63,Au,1345,"\cite{OpenKIM-MO:754413982908:000a},\cite{OpenKIM-MO:754413982908:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_Ackland\_1987\_Au\_\_MO\_754413982908\_000
62,Au,1375,"\cite{OpenKIM-MO:104891429740:005a},\cite{OpenKIM-MO:104891429740:005b},\cite{OpenKIM-MO:104891429740:005c},\cite{OpenKIM-MO:104891429740:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_AcklandTichyVitek\_1987\_Au\_\_MO\_104891429740\_005
15,Cu,773,"\cite{OpenKIM-MO:270337113239:005a},\cite{OpenKIM-MO:270337113239:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_WuTrinkle\_2009\_CuAg\_\_MO\_270337113239\_005
144,Cu,1047,"\cite{OpenKIM-MO:529419924683:000a},\cite{OpenKIM-MO:529419924683:000},\cite{OpenKIM-MD:536750310735:000}",SNAP\_LiHuChen\_2018\_Cu\_\_MO\_529419924683\_000
105,Cu,1064,"\cite{OpenKIM-MO:127245782811:005a},\cite{OpenKIM-MO:127245782811:005b},\cite{OpenKIM-MO:127245782811:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_ZhouJohnsonWadley\_2004\_Cu\_\_MO\_127245782811\_005
152,Cu,1072,"\cite{OpenKIM-SM:667696763561:000a},\cite{OpenKIM-SM:667696763561:000}",Sim\_LAMMPS\_ADP\_ApostolMishin\_2011\_AlCu\_\_SM\_667696763561\_000
103,Cu,1082,"\cite{OpenKIM-MO:759493141826:000a},\cite{OpenKIM-MO:759493141826:000b},\cite{OpenKIM-MO:759493141826:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_ZhouJohnsonWadley\_2004NISTretabulation\_Cu\_\_MO\_759493141826\_000
18,Cu,1086,"\cite{OpenKIM-MO:318213562153:000a},\cite{OpenKIM-MO:318213562153:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_ZhouJohnsonWadley\_2004NISTretabulation\_CuAgAu\_\_MO\_318213562153\_000
104,Cu,1091,"\cite{OpenKIM-MO:547744193826:000a},\cite{OpenKIM-MO:547744193826:000b},\cite{OpenKIM-MO:547744193826:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_ZhouJohnsonWadley\_2004\_CuTa\_\_MO\_547744193826\_000
163,Cu,1095,"\cite{OpenKIM-SM:399364650444:000a},\cite{OpenKIM-SM:399364650444:000}",Sim\_LAMMPS\_ADP\_PunDarlingKecskes\_2015\_CuTa\_\_SM\_399364650444\_000
102,Cu,1097,"\cite{OpenKIM-MO:950828638160:000a},\cite{OpenKIM-MO:950828638160:000b},\cite{OpenKIM-MO:950828638160:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_ZhouJohnsonWadley\_2004NISTretabulation\_CuTa\_\_MO\_950828638160\_000
106,Cu,1097,"\cite{OpenKIM-MO:380822813353:000a},\cite{OpenKIM-MO:380822813353:000b},\cite{OpenKIM-MO:380822813353:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_ZhouWadleyJohnson\_2001\_Cu\_\_MO\_380822813353\_000
67,Cu,1143,"\cite{OpenKIM-MO:426403318662:000a},\cite{OpenKIM-MO:426403318662:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_GolaPastewka\_2018\_CuAu\_\_MO\_426403318662\_000
81,Cu,1143,"\cite{OpenKIM-MO:469343973171:005a},\cite{OpenKIM-MO:469343973171:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_BonnyPasianotCastin\_2009\_FeCuNi\_\_MO\_469343973171\_005
99,Cu,1145,"\cite{OpenKIM-MO:346334655118:005a},\cite{OpenKIM-MO:346334655118:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_MishinMehlPapaconstantopoulos\_2001\_Cu\_\_MO\_346334655118\_005
12,Cu,1149,"\cite{OpenKIM-MO:128703483589:005a},\cite{OpenKIM-MO:128703483589:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_WilliamsMishinHamilton\_2006\_CuAg\_\_MO\_128703483589\_005
90,Cu,1151,"\cite{OpenKIM-MO:666348409573:004a},\cite{OpenKIM-MO:666348409573:004b},\cite{OpenKIM-MO:666348409573:004},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_FoilesBaskesDaw\_1986Universal3\_Cu\_\_MO\_666348409573\_004
88,Cu,1157,"\cite{OpenKIM-MO:266134052596:000a},\cite{OpenKIM-MO:266134052596:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_FischerSchmitzEich\_2019\_CuNi\_\_MO\_266134052596\_000
34,Cu,1159,"\cite{OpenKIM-MO:020851069572:000a},\cite{OpenKIM-MO:020851069572:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_LiuLiuBorucki\_1999\_AlCu\_\_MO\_020851069572\_000
92,Cu,1161,"\cite{OpenKIM-MO:119135752160:005a},\cite{OpenKIM-MO:119135752160:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_HoytGarvinWebb\_2003\_PbCu\_\_MO\_119135752160\_005
100,Cu,1168,"\cite{OpenKIM-MO:592013496703:005a},\cite{OpenKIM-MO:592013496703:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_OnatDurukanoglu\_2014\_CuNi\_\_MO\_592013496703\_005
80,Cu,1172,"\cite{OpenKIM-MO:145873824897:000a},\cite{OpenKIM-MO:145873824897:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_AdamsFoilesWolfer\_1989Universal6\_Cu\_\_MO\_145873824897\_000
145,Cu,1189,"\cite{OpenKIM-MO:931672895580:000a},\cite{OpenKIM-MO:931672895580:000},\cite{OpenKIM-MD:536750310735:000}",SNAP\_ZuoChenLi\_2019\_Cu\_\_MO\_931672895580\_000
83,Cu,1190,"\cite{OpenKIM-MO:097471813275:000a},\cite{OpenKIM-MO:097471813275:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_BorovikovMendelevKing\_2016\_CuZr\_\_MO\_097471813275\_000
91,Cu,1200,"\cite{OpenKIM-MO:831121933939:000a},\cite{OpenKIM-MO:831121933939:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_Foiles\_1985\_Cu\_\_MO\_831121933939\_000
165,Cu,1209,"\cite{OpenKIM-SM:316120381362:001a},\cite{OpenKIM-SM:316120381362:001}",Sim\_LAMMPS\_MEAM\_EtesamiAsadi\_2018\_Cu\_\_SM\_316120381362\_001
23,Cu,1248,"\cite{OpenKIM-MO:942551040047:005a},\cite{OpenKIM-MO:942551040047:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_CaiYe\_1996\_AlCu\_\_MO\_942551040047\_005
146,Cu,1278,"\cite{OpenKIM-MO:265210066873:000a},\cite{OpenKIM-MO:265210066873:000},\cite{OpenKIM-MD:536750310735:000}",SNAP\_ZuoChenLi\_2019quadratic\_Cu\_\_MO\_265210066873\_000
157,Cu,1280,"\cite{OpenKIM-SM:656517352485:000a},\cite{OpenKIM-SM:656517352485:000}",Sim\_LAMMPS\_MEAM\_JelinekGrohHorstemeyer\_2012\_AlSiMgCuFe\_\_SM\_656517352485\_000
94,Cu,1389,"\cite{OpenKIM-MO:748636486270:005a},\cite{OpenKIM-MO:748636486270:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_MendelevKing\_2013\_Cu\_\_MO\_748636486270\_005
86,Cu,1400,"\cite{OpenKIM-MO:803527979660:000a},\cite{OpenKIM-MO:803527979660:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_FarkasCaro\_2018\_FeNiCrCoCu\_\_MO\_803527979660\_000
84,Cu,1402,"\cite{OpenKIM-MO:657255834688:000a},\cite{OpenKIM-MO:657255834688:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_DeluigiPasianotValencia\_2021\_FeNiCrCoCu\_\_MO\_657255834688\_000
95,Cu,1457,"\cite{OpenKIM-MO:945691923444:005a},\cite{OpenKIM-MO:945691923444:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_MendelevKramerBecker\_2008\_Cu\_\_MO\_945691923444\_005
96,Cu,1471,"\cite{OpenKIM-MO:600021860456:005a},\cite{OpenKIM-MO:600021860456:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_MendelevKramerOtt\_2009\_CuZr\_\_MO\_600021860456\_005
98,Cu,1473,"\cite{OpenKIM-MO:609260676108:000a},\cite{OpenKIM-MO:609260676108:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_MendelevSunZhang\_2019\_CuZr\_\_MO\_609260676108\_000
97,Cu,1482,"\cite{OpenKIM-MO:120596890176:005a},\cite{OpenKIM-MO:120596890176:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_MendelevSordeletKramer\_2007\_CuZr\_\_MO\_120596890176\_005
78,Cu,1569,"\cite{OpenKIM-MO:762798677854:000a},\cite{OpenKIM-MO:762798677854:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_AcklandTichyVitek\_1987v2\_Cu\_\_MO\_762798677854\_000
77,Cu,1773,"\cite{OpenKIM-MO:179025990738:005a},\cite{OpenKIM-MO:179025990738:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_AcklandTichyVitek\_1987\_Cu\_\_MO\_179025990738\_005
79,Cu,1842,"\cite{OpenKIM-MO:642748370624:000a},\cite{OpenKIM-MO:642748370624:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_AcklandVitek\_1990\_Cu\_\_MO\_642748370624\_000
164,Cu,1952,"\cite{OpenKIM-SM:239791545509:000a},\cite{OpenKIM-SM:239791545509:000}",Sim\_LAMMPS\_MEAM\_AsadiZaeemNouranian\_2015\_Cu\_\_SM\_239791545509\_000
166,Cu,3554,"\cite{OpenKIM-SM:521856783904:000, tadmor:elliott:2011, elliott:tadmor:2011}",Sim\_LAMMPS\_MEAM\_Wagner\_2007\_Cu\_\_SM\_521856783904\_000
168,Ni,1622,"\cite{OpenKIM-SM:559286646876:000a},\cite{OpenKIM-SM:559286646876:000}",Sim\_LAMMPS\_ADP\_XuWangQian\_2022\_NiPd\_\_SM\_559286646876\_000
170,Ni,1644,"\cite{OpenKIM-SM:306597220004:000a},\cite{OpenKIM-SM:306597220004:000}",Sim\_LAMMPS\_ADP\_XuWangQian\_2022\_NiRh\_\_SM\_306597220004\_000
116,Ni,1748,"\cite{OpenKIM-MO:776437554506:000a},\cite{OpenKIM-MO:776437554506:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_FoilesHoyt\_2006\_Ni\_\_MO\_776437554506\_000
101,Ni,1761,"\cite{OpenKIM-MO:592013496703:005a},\cite{OpenKIM-MO:592013496703:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_OnatDurukanoglu\_2014\_CuNi\_\_MO\_592013496703\_005
131,Ni,1790,"\cite{OpenKIM-MO:110256178378:005a},\cite{OpenKIM-MO:110256178378:005b},\cite{OpenKIM-MO:110256178378:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_ZhouJohnsonWadley\_2004\_Ni\_\_MO\_110256178378\_005
128,Ni,1813,"\cite{OpenKIM-MO:047308317761:000a},\cite{OpenKIM-MO:047308317761:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_ZhangAshcraftMendelev\_2016\_NiNb\_\_MO\_047308317761\_000
130,Ni,1826,"\cite{OpenKIM-MO:593762436933:000a},\cite{OpenKIM-MO:593762436933:000b},\cite{OpenKIM-MO:593762436933:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_ZhouJohnsonWadley\_2004NISTretabulation\_Ni\_\_MO\_593762436933\_000
9,Ni,1858,"\cite{OpenKIM-MO:222110751402:000a},\cite{OpenKIM-MO:222110751402:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_PanBorovikovMendelev\_2108\_AgNi\_\_MO\_222110751402\_000
120,Ni,1875,"\cite{OpenKIM-MO:832600236922:005a},\cite{OpenKIM-MO:832600236922:005},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_MendelevKramerHao\_2012\_Ni\_\_MO\_832600236922\_005
127,Ni,1881,"\cite{OpenKIM-MO:306032198193:000a},\cite{OpenKIM-MO:306032198193:000},\cite{OpenKIM-MD:120291908751:005}",EAM\_Dynamo\_WilsonMendelev\_2015\_NiZr\_\_MO\_306032198193\_000
167,Ni,1894,"\cite{OpenKIM-SM:477692857359:000a},\cite{OpenKIM-SM:477692857359:000}",Sim\_LAMMPS\_ADP\_MishinMehlPapaconstantopoulos\_2005\_Ni\_\_SM\_477692857359\_000
