,strength_MPa,bcc_fraction,hcp_fraction,lattice_constant_bcc,lattice_constant_fcc,lattice_constant_sc,bulk_modulus_bcc,bulk_modulus_fcc,bulk_modulus_sc,c44_bcc,c44_fcc,c44_sc,c12_bcc,c12_fcc,c12_sc,c11_bcc,c11_fcc,c11_sc,cohesive_energy_bcc,cohesive_energy_fcc,cohesive_energy_sc,thermal_expansion_coeff_fcc,surface_energy_100_fcc,surface_energy_110_fcc,surface_energy_111_fcc,surface_energy_121_fcc,ideal_surface_energy_100_bcc,ideal_surface_energy_100_fcc,ideal_surface_energy_110_bcc,ideal_surface_energy_110_fcc,ideal_surface_energy_111_bcc,ideal_surface_energy_111_fcc,ideal_surface_energy_121_bcc,ideal_surface_energy_121_fcc,extr_stack_fault_energy_fcc,intr_stack_fault_energy_fcc,unstable_stack_energy_fcc,unstable_stack_energy_slip_fraction_fcc,unstable_twinning_energy_fcc,unstable_twinning_energy_slip_fraction_fcc,relaxed_formation_potential_energy_bcc,relaxed_formation_potential_energy_fcc,relaxed_formation_potential_energy_hcp,unrelaxed_formation_potential_energy_bcc,unrelaxed_formation_potential_energy_fcc,unrelaxed_formation_potential_energy_hcp,vacancy_migration_energy_bcc,vacancy_migration_energy_fcc,vacancy_migration_energy_hcp,vacancy_migration_energy_sc,relaxation_volume_bcc,relaxation_volume_fcc,relaxation_volume_hcp
strength_MPa,1.0,-0.08028439852582643,-0.13720973740068837,-0.6791515395326708,-0.6651079366920474,-0.6224908143949419,0.09684283064638462,0.5574440864319729,0.3961395403656297,0.4176371407753403,0.8194368836029282,-0.2540084726836638,0.11525925595658063,0.44416116074172024,-0.1476209633203369,0.05965595542874042,0.6713695916667096,0.5873718063778118,0.5721055714743527,0.5875511032902729,0.467744760167422,-0.39852567237317316,0.6276742367111674,0.6371422878971921,0.5823584047400058,0.6174175777182491,,0.6155255802373645,,0.6129526192569311,,0.5747461330503361,,0.5938580124133699,0.12252784815609721,0.1339251796160403,0.5668702468218907,-0.12989246194106593,0.589468404335647,-0.1271339197996108,,0.6748168340089614,,,0.6421882855260655,,,0.8356692055649965,,,,-0.5544281170489351,
bcc_fraction,-0.08028439852582643,1.0,0.035950937163714676,0.10917420311534493,0.09722398003024885,0.08500611029786724,-0.030055402906256284,0.0902754567388789,0.026409948599337926,-0.09712613619082879,-0.03947916098500966,0.033491994956353015,-0.0219793072935193,0.08140944108978437,0.08797493485712958,-0.04388338343719584,0.09609437948966582,-0.022714574818068115,0.024086847231561504,0.03389174968224387,0.060067488966476026,0.034167837613265375,0.00917510936311521,0.015997965059704543,0.021615096615056915,0.017481305550799287,,0.011558751219166477,,0.023091717906116086,,0.022960792264999676,,0.02384191253288914,-0.019585908251034397,-0.02097498127913121,-0.0704428215401447,0.008357670617551742,-0.0670611594557667,-0.02128844020872268,,-0.040313656193123035,,,-0.010590222106850618,,,-0.11180884999613205,,,,0.1880971019787821,
hcp_fraction,-0.13720973740068837,0.035950937163714676,1.0,0.28709443814676794,0.3096210037832846,0.21585821405934383,-0.035970231708279704,-0.07254354497014615,0.006104956141722977,-0.1146385848561528,-0.19495399755338225,0.003741161598150197,-0.05807551246927507,0.002105931524060843,0.07255359268482377,0.0059209535725652735,-0.16719064185405816,-0.03828060042652304,-0.27677967106546236,-0.2761052292448558,-0.2816868669994099,0.10126383390908118,-0.27008899920716734,-0.28990520194702285,-0.2801025799411105,-0.28872556075794337,,-0.2692054094548054,,-0.27213988602329264,,-0.282097738202705,,-0.28243011235434856,-0.3783253524556491,-0.3962929045756282,-0.3326037952996125,-0.4918965885341019,-0.41166553928957894,-0.162229742344076,,-0.15328979068267365,,,-0.18790344826322036,,,-0.1956116467824025,,,,0.2186335458472137,
lattice_constant_bcc,-0.6791515395326708,0.10917420311534493,0.28709443814676794,1.0,0.9499480834313181,0.9510913578434597,-0.1459707537537493,-0.5138266863502793,-0.39254771135200467,-0.4109638231529663,-0.7597362068322776,0.38200509381530473,-0.15285060932609867,-0.44579016252182013,0.08270175187022466,-0.12832964345152545,-0.5672239336929835,-0.5438805539430566,-0.5085880978841013,-0.5095835986047146,-0.39377809637656264,0.42312218702643023,-0.7006882475136267,-0.7098252605669902,-0.6634253840077545,-0.69546204742088,,-0.6831800712782038,,-0.6830777548375603,,-0.6496864211557756,,-0.6662027812851211,-0.29225252654968925,-0.3069561730568994,-0.6663086648498738,0.08039327074203195,-0.6496299420952799,0.1727760005587793,,-0.7364015886135871,,,-0.7107865632218888,,,-0.658698310701207,,,,0.6897541933752078,
lattice_constant_fcc,-0.6651079366920474,0.09722398003024885,0.3096210037832846,0.9499480834313181,1.0,0.968173165561262,-0.1273704871980093,-0.5199261875147573,-0.4024241018145013,-0.3762564302590857,-0.7543597094330342,0.5000004087653164,-0.1420093743081977,-0.45099601917144233,0.07147317809736066,-0.09614986920957656,-0.574071868078577,-0.5492043253985817,-0.5633123746361939,-0.5183837476167598,-0.4407045032999444,0.35699200796805736,-0.6837531514335067,-0.696034814610553,-0.6457541327568505,-0.6802613674234665,,-0.6651543589843912,,-0.6690488997656661,,-0.6300971218454997,,-0.6500300514489309,-0.27406526886000043,-0.28542162004684757,-0.6600292253628475,0.0809165453051182,-0.6394946049573303,0.14015902079907575,,-0.7307215910109555,,,-0.7082070441394085,,,-0.6443337418042996,,,,0.7429604730029737,
lattice_constant_sc,-0.6224908143949419,0.08500611029786724,0.21585821405934383,0.9510913578434597,0.968173165561262,1.0,-0.1828334866835724,-0.5611677313723566,-0.4554011632344313,-0.40635039989242994,-0.7381956138724284,0.5055082353418224,-0.1945230363298023,-0.5147963453152931,0.030755919674345964,-0.15508044476608432,-0.585692141815962,-0.5873496003610844,-0.5165393882620073,-0.49418993261670097,-0.3887327519841617,0.3746944733185988,-0.6771078082521799,-0.691220678848594,-0.6377262201865209,-0.6705291310516802,,-0.6653324874591775,,-0.6712683252496316,,-0.6288714759764256,,-0.650028763447928,0.014264014692565939,-0.0022755068335102028,-0.3371138068689315,0.15400539631570034,-0.35587169652068656,0.19802526949965527,,-0.7442595825753917,,,-0.7205836577769719,,,-0.6050616844785677,,,,0.6598583224122057,
bulk_modulus_bcc,0.09684283064638462,-0.030055402906256284,-0.035970231708279704,-0.1459707537537493,-0.1273704871980093,-0.1828334866835724,1.0,0.515666017802027,0.41286258705951007,0.8708988776929787,0.14537204113375232,0.04274004655016392,0.9934877535536798,0.5671094892861485,0.381403191282879,0.9777905822048151,0.41195806636643395,0.27359276688556283,0.26059298492415583,0.2658739727947907,0.2623378605393719,-0.20553187117085103,0.4033299836425621,0.4006421052645543,0.40531221657443395,0.3989799182958716,,0.4205813361706866,,0.4344369176016226,,0.419466314871872,,0.4338457337687312,-0.0554435877129127,-0.04929210687376226,-0.034419605527964456,0.3987344115105316,-0.023039177779956333,-0.22636989319397177,,0.28715914481648824,,,0.35098312192354403,,,0.08947515861340678,,,,0.02683019940351374,
bulk_modulus_fcc,0.5574440864319729,0.0902754567388789,-0.07254354497014615,-0.5138266863502793,-0.5199261875147573,-0.5611677313723566,0.515666017802027,1.0,0.6260650405196199,0.5242714759614368,0.7283237000470468,-0.2709030980933022,0.5222392215739667,0.9787380938488087,0.2545676409937377,0.4867819463230667,0.9619297997897666,0.6196903382150895,0.7813883236625456,0.7824477789219955,0.6937813279995999,-0.46140901921472255,0.7637567041438789,0.770466471491186,0.7431243893023749,0.7605852083667538,,0.7717065141174796,,0.7932468353709505,,0.7471850131556999,,0.7769063197365061,-0.1991784024414193,-0.18526235576950079,0.09217393237671381,-0.13921203581323918,0.11860171347190834,-0.33117799120830727,,0.8173686071742019,,,0.840221561390567,,,0.5701611137398487,,,,-0.2655972350008248,
bulk_modulus_sc,0.3961395403656297,0.026409948599337926,0.006104956141722977,-0.39254771135200467,-0.4024241018145013,-0.4554011632344313,0.41286258705951007,0.6260650405196199,1.0,0.46598353995585384,0.4390496261125236,0.007583535909115234,0.41136883341720887,0.6285610626522242,0.6054629742614348,0.40220642142450974,0.5801010518953877,0.8640371959049574,0.5001541226802396,0.49805836852413676,0.46668102362253505,-0.21591200425470133,0.4724398309924746,0.49574566211065074,0.4578740793046887,0.47386259028193156,,0.47984060602247103,,0.5102599274932776,,0.46284323434672836,,0.48700973359331307,0.03737291725961051,0.02923775849938743,0.19534314870901806,-0.05971281516608388,0.20626742273665896,-0.13388296124176421,,0.6056643605416602,,,0.6107527295267996,,,0.3308371783400766,,,,-0.24690417646073995,
c44_bcc,0.4176371407753403,-0.09712613619082879,-0.1146385848561528,-0.4109638231529663,-0.3762564302590857,-0.40635039989242994,0.8708988776929787,0.5242714759614368,0.46598353995585384,1.0,0.455710065166256,-0.08617567672449082,0.8759469365814574,0.5035819882977435,0.16668855604887897,0.8318386788582122,0.5170268816856833,0.4756529926671036,0.3194673441726194,0.3331639193776253,0.26080555277391504,-0.28392201981220044,0.5879623320650157,0.5903109923607855,0.5808866770018942,0.5846747443589831,,0.594092273804468,,0.6002267057322951,,0.5871616038096588,,0.596816824261193,-0.008696182528859403,0.007115334706037013,0.15424613714712407,0.3258618679704426,0.17870342250214594,-0.2903063847473729,,0.46009476530097737,,,0.495015905658544,,,0.38458672220119294,,,,-0.21771804942483616,
